,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output
33,2.2,1466.552612,1.1,0,1.1,1.07E-06,3284.843985,0.00039743,278620.2692,0.815740876,0.557015225,0.248039789,1.049796894,0.989909849,3.003355666,143695.3086,0.000259683,1.06E-06,0.005107166,8.24E-07,2.25E-05,4.34E-07,0.456908035,0.286308216,0.423116055,0.096925622,0.125661331,3.614170654,2.192388374,0.813603502,2.837225002,2.92419274,0.21795876,3.246171469,5.041354236,3.526356496,2.612020944,2.762389933,0.124191775,6.351827495,4.063085417,1.899191684,1.844034241,3.167736626
34,0,1236.387053,2.2,1.1,0,1.14E-06,3782.805925,0.001061794,298935.8861,0.968464171,0.167232348,2.179944257,0.382058248,0.584840429,4.165593001,35257.0884,0.001035025,6.75E-07,0.001956465,6.90E-07,0.000705236,1.02E-06,0.253611603,0.286193659,0.436385391,0.009806431,0.125161761,5.708484635,2.102111278,0.732100222,1.961529029,3.102321925,0.208918386,5.48346627,11.18723952,5.794398478,1.345507365,1.939091438,0.124279959,6.419378885,4.435725139,1.971506902,0.724720588,2.12960879
35,1.1,1499.900566,-5.5,1.1,0,2.08E-06,3569.129659,0.000782185,310143.5021,1.086971801,0.372557002,0.768042657,1.1358442,0.212171785,0.612303247,85644.30425,0.000548282,9.42E-07,0.008430282,4.72E-07,4.27E-05,4.95E-07,0.488914143,0.19115249,0.173286507,0.012115681,0.125223465,0.954109354,2.615630906,1.052928304,2.761875377,2.931751603,0.236197505,0.902255149,4.326219382,1.891595742,0.535116851,1.554904812,0.120522083,0.991174376,4.509177333,1.984258087,0.740730892,2.789951752
36,0,1373.275305,3.3,0,0,4.28E-06,3375.01598,0.00067689,292382.3458,0.230692171,1.023370196,1.130582694,1.186136392,0.822448537,0.965670731,238267.7603,0.000841643,6.55E-07,0.008973471,1.06E-06,0.000180773,2.53E-07,0.475241354,0.246070494,0.456656562,0.099745263,0.125452681,1.055832477,1.709640329,0.70351573,0.633568915,2.047590025,0.237303081,0.905340866,5.599629802,2.112981298,0.380311048,1.506837921,0.12055598,1.005115465,4.295066049,1.901381492,0.767952293,2.834659118
37,1.1,1548.45356,-3.3,1.1,1.1,3.17E-06,3944.993836,0.000624978,290659.8335,0.880322077,0.935827211,1.242497373,0.412026193,1.373776915,1.511849474,59245.94734,0.000429502,7.88E-07,0.006517439,3.19E-07,0.00064376,7.71E-07,0.33919474,0.545735881,0.266709307,0.085819033,0.130765336,4.759472058,11.38928388,6.439548268,1.912036331,2.710735498,0.22114965,6.018819103,6.394267023,2.629425125,3.029532127,2.916305384,0.129974532,6.537582261,4.714485113,2.060692314,3.153151139,3.276648748
38,2.2,1093.885739,-3.3,0,1.1,3.68E-06,3370.304518,0.001016069,301012.3717,0.688675143,0.754992585,2.024764435,1.839566671,0.34830105,2.024841507,112830.6138,0.000418226,3.01E-07,0.005496626,4.48E-07,0.001071567,2.68E-07,0.128402567,0.224022966,0.247189835,0.072568421,0.125577844,1.209404101,1.889178909,0.805379373,2.777055186,3.069743154,0.217902202,2.067918911,4.210072568,2.143873415,1.977230372,2.598685527,0.120676607,1.922952652,4.184830129,1.911280794,1.048296844,2.806388739
39,2.2,1207.258668,5.5,1.1,1.1,2.36E-06,3370.240028,0.000264495,287751.9084,0.880925028,0.78965966,1.702567003,1.176030111,1.31969928,1.689803701,144292.4035,0.000623416,3.60E-07,0.00707128,8.46E-08,0.000261446,9.91E-07,0.256538879,0.213147309,0.123059616,0.013435771,0.125310163,0.958594181,2.75670678,1.09864568,2.811953878,3.034283425,0.208918386,0.936376545,3.866590558,2.159530647,1.278686777,2.347220015,0.120464895,0.937173783,4.823311677,2.081317798,3.52189537,3.27029589
40,1.1,1583.766078,5.5,1.1,1.1,8.20E-06,3371.860705,0.00053948,312633.1929,1.031204589,0.225643594,0.153219026,2.018222855,1.831530053,3.774762144,240275.2665,0.000634729,1.68E-07,0.010634653,4.44E-07,0.000187751,7.12E-07,0.172489898,0.452433546,0.245451968,0.057896327,0.12027903,1.265031017,1.979202827,0.806372484,2.782493321,3.236819836,0.218408374,1.893100338,4.341131072,2.166006076,1.574591848,2.282703848,0.118127973,1.974746219,3.722039912,1.714217713,0.261995652,1.258668916
41,1.1,1095.573072,-4.4,1.1,1.1,8.10E-06,3596.026881,0.000205195,307879.8012,0.51677036,0.494219831,1.678853098,1.90816341,2.11040609,0.880691606,184015.2176,0.000573696,3.41E-07,0.003736643,1.04E-06,0.000229226,3.52E-07,0.424729836,0.365446266,0.546819932,0.03978511,0.124735408,2.63655574,3.542516822,1.522895815,0.507238541,1.65382911,0.221222727,0.936774209,6.575315077,2.683039638,0.742794539,1.522516793,0.120241744,0.869667587,4.972899804,2.078372334,0.633757271,2.613541094
42,2.2,1326.325618,-4.4,1.1,0,8.16E-06,3926.583333,0.000757423,294215.3473,1.089394248,0.213700004,1.678486895,0.51541797,0.771522213,2.948007788,248746.6125,0.000836915,9.03E-07,0.002761762,6.16E-07,0.0004744,7.28E-07,0.48616396,0.315266363,0.144177561,0.069777147,0.114722562,1.440322463,6.047295009,1.145216791,0.389357873,1.479684991,0.222429454,0.902453521,4.297137103,1.904545425,0.408474662,1.384193608,0.123739569,2.486869692,4.688874431,1.779805839,2.541284493,2.907288882
43,0,1004.58382,5.5,0,1.1,1.02E-05,3754.062251,0.000482661,310279.6695,0.608738642,0.584541764,2.107915537,0.928093388,0.876194267,2.181055393,134350.5671,0.000759713,5.54E-08,0.004124425,6.47E-07,0.000227039,2.20E-07,0.147396111,0.346559454,0.431724481,0.003777223,0.124796735,1.595344082,2.096184784,0.805844255,1.764401006,2.655355033,0.208918386,1.171327409,7.849021003,5.0685601,1.463616842,2.570193481,0.125455229,5.348581937,4.282338343,1.940318754,3.337193811,3.267524568
44,1.1,1208.485985,-5.5,0,1.1,8.19E-06,3854.143628,0.000766526,300733.9851,0.366721685,0.613828457,1.510295665,1.695591719,1.851197151,2.425192923,130940.9269,0.000912985,4.73E-07,0.002737649,3.10E-07,8.13E-05,7.77E-07,0.509551799,0.424058194,0.430178123,0.019704613,0.101096748,0.91620233,1.081289373,0.90232098,1.108211617,2.507268194,0.218580112,0.903131044,3.956155395,2.261111946,1.311658477,2.286420414,0.120492853,0.963205264,4.332422774,1.939822814,0.732820386,2.829016283
45,0,1007.587187,-3.3,0,0,7.56E-06,3916.637328,0.000204083,292541.7171,0.092991717,0.654348484,1.924694912,0.937686158,2.093145441,2.698685351,22095.3456,0.000457612,9.12E-07,0.00839987,6.81E-07,0.000780461,9.38E-07,0.116757378,0.220367475,0.378796725,0.043274318,0.125044341,0.932099547,2.533899198,0.977771543,2.175284282,3.053254056,0.220782348,1.078649945,6.626246154,2.516343768,0.369957009,1.2029482,0.120635577,1.535408879,5.476978462,2.175539839,3.636217045,3.275329391
46,0,1002.234162,4.4,0,1.1,4.19E-06,3840.154338,0.000668496,300888.4837,0.238890167,0.915698636,1.042345695,1.351566459,1.667696091,5.057150034,127468.666,0.001030161,4.59E-07,0.001677817,2.43E-07,0.00011172,3.75E-07,0.445660786,0.444574345,0.139493614,0.06921024,0.12561276,1.059282164,2.173516933,0.871699539,2.270353752,2.975419304,0.220987894,2.271455737,5.82966263,2.392328664,1.497572727,2.520766331,0.120854911,2.346510509,4.420272101,1.98482554,1.084982915,1.616357556
47,1.1,1091.314674,-3.3,0,1.1,4.93E-06,3648.986799,0.000849827,296599.0933,0.426265713,0.107434655,0.157897229,1.537175868,0.537614474,3.897579742,93252.90217,0.001083732,7.47E-07,0.010533613,4.91E-07,0.000960904,6.15E-09,0.137702089,0.509698706,0.438671704,0.064675715,0.125013159,0.906367514,2.738679816,1.102029893,3.081477871,3.131273025,0.209743818,0.901198526,3.068521712,1.481077692,0.491348893,1.620004475,0.120451855,0.947560059,4.652422682,2.032485923,0.810725468,2.80595143
48,1.1,1426.823458,4.4,1.1,0,3.07E-06,3879.446146,0.000242632,289163.1109,1.082945306,0.810512209,1.870363335,0.552668689,0.566846547,1.262215673,204915.3452,0.000593158,3.68E-07,0.001837085,5.31E-08,0.001029246,6.40E-07,0.134615761,0.187451756,0.354818415,0.105557802,0.124834209,1.081928466,2.18815865,0.896535844,4.01166162,3.234662183,0.236703659,0.872381908,5.207427655,2.159808455,1.114541004,2.059869081,0.120221321,3.519482938,4.48778835,1.958316711,3.60398227,3.220315142
